id,name,kind,domain,file,entry_point,predicts,inputs_tables,inputs_features,upstream_models,technique,evaluation_harness,tests,measured_results,known_failures,improvement_options,status,point_in_time_safe,reads_closing_market,last_verified,entry_note,source_file
"lineup_family","Lineup family adapter","combiner","spread","server/betting/nfl/forecast/spread-family-adapters.js","server/betting/nfl/forecast/spread-family-adapters.js:363","margin (marketMargin + roster/availability residual)","game_lines (via marketReference); player availability/injury-carryover/roster-strength tables","structuralMargin (roster_score diff*0.32+1.5), availability.shadow_margin_adjustment, injuryCarryover.incremental_margin_adjustment","nfl-player-value.js (gamePlayerAvailability), nfl-postgame-truth.js (gameInjuryCarryover), nfl-roster-strength.js (teamRosterStrength)","heuristic","unknown (not found)","unknown (not found)","unmeasured","qualified only when both gamePlayerAvailability().production_eligible AND gameInjuryCarryover().production_eligible are true; both currently self-report false per adapter's own qualification_source string.","unknown (not found)","live","yes — marketReference takes season/week/cutoff","yes (marketMargin from line.ensemble.market_spread)","2026-09-16","lineupFamilyForecast)","rows-spread-forecasters.csv"
"simulation_family","Simulation family adapter","combiner","spread","server/betting/nfl/forecast/spread-family-adapters.js","server/betting/nfl/forecast/spread-family-adapters.js:290","margin/total (from simulateMatchup, 160 trials, ensemble-reconciled mode)","game_lines (via marketReference)","line.ensemble.market_spread/market_total as reweighting anchor, deterministic per-game seed","server/services/nfl-drive-sim.js simulateMatchup()","simulation","unknown (not found)","unknown (not found)","unmeasured (adapter itself; see drive_sim row for the underlying simulator's own backtest)","Only the 'ensemble-reconciled' mode is wired; docs' separate 'unanchored' mode (fitted params only, no market/ensemble anchor) does not exist as production code (adapter's own doc comment).","unknown (not found)","live","yes — marketReference takes season/week/cutoff","yes (spread/total passed to simulateMatchup as reweighting anchor)","2026-09-16","simulationFamilyForecast)","rows-spread-forecasters.csv"
"trained_margin_family","Trained margin family adapter (Stage 3)","combiner","spread","server/betting/nfl/forecast/spread-family-adapters.js","server/betting/nfl/forecast/spread-family-adapters.js:463","margin (result.predicted_margin from a saved Stage 3 Python artifact)","a retained feature request (async, scorePythonArtifact); never marketReference/live tables directly","request.game fields passed through to scorePythonArtifact","research/betting/nfl/stage3_team_strength.py (saved artifact), via scorePythonArtifact","ols (ridge/LightGBM per stage3, scored via saved artifact)","unknown (not found)","unknown (not found)","unmeasured (adapter itself)","wired=false per skeleton-spread-families.csv; no prospective qualification or probability calibrator per adapter's own qualification_source string.","unknown (not found)","unenforced","unknown (not found)","no (consumes only a retained feature request, never marketReference/live tables per adapter's own doc comment)","2026-09-16","trainedMarginFamilyForecast, async)","rows-spread-forecasters.csv"
"unified_engine","Gridiron Unified Engine","combiner","spread","server/services/nfl-unified-engine.js","server/services/nfl-unified-engine.js:33","Reconciled projected score, moneyline, spread, total, full scoring distribution and key numbers (min-KL reconciliation of ensemble means onto simulator's joint play-by-play shape)","game_lines (via gameRow)","ensembleLine output (market/projected spread & total), simulateMatchup trial output, teamNewsSignals, gameInjuryCarryover, expertCouncilGame, engine version/epoch","nfl-ensemble.js (ensembleLine), nfl-drive-sim.js (simulateMatchup), nfl-engine-registry.js, nfl-news-signal.js, gridiron-model.js (ask), nfl-expert-council.js (expertCouncilGame), nfl-postgame-truth.js","simulation","none found in file; no dedicated test/nfl-unified-engine.js","none found","unmeasured","none found (no TODO/FIXME); only inline rationale comments","unknown (not found)","live (only wired into server/routes/nfl-betting.js — the /nfl-betting route only)","partial — news signals use explicit before:cutoff, but market spread/total default to whatever ensembleLine returns live unless caller supplies frozen values","yes (line.ensemble.market_spread/market_total from ensembleLine unless explicit spread/total passed)","2026-09-16","unifiedGameProjection)","rows-spread-forecasters.csv"
"unified_model","Unified margin model (ridge+LightGBM blend)","combiner","spread","research/betting/nfl/unified_model.py","research/betting/nfl/unified_model.py:101","actual_margin (learned weighted blend of ridge + LightGBM component predictions), plus an empirical interval_80 and margin distribution via .describe()","takes pre-built rows from caller (no direct DB access in this file)","stage3.FEATURE_NAMES (the same frozen 14; lines 104,106)","stage3_team_strength.py (row_features, _ridge_pipeline, _lgb_model, _inner_split); model_artifact.py; expert_selector_lab.py (simplex_ridge, cluster_families)","ridge (nonnegative-simplex-constrained ridge combiner over ridge+LightGBM component predictions)","unified_margin_audit.py's run_walk_forward","unknown (not found)","unmeasured — no hardcoded metric numbers in this file","""status: 'research_calibration_requires_outer_validation'"", ""coverage_guarantee: 'not established for dependent NFL games'"" (lines 96-97).","unknown (not found)","research_only (RECIPE['authority']='research_only', outer_results_used_for_selection:False, lines 32-33)","yes — strictly chronological base/combination/calibration week blocks, each filtered by decision_at eligibility cutoffs (lines 41-62,110,132)","no — confirmed zero occurrences of the string 'market' anywhere in unified_model.py (grep)","2026-09-16","fit_unified); predict via class UnifiedMarginModel line 65, .predict() line 75","rows-spread-forecasters.csv"
"contingency_cascades","Handcuff cascade and contingent value","component","fantasy","server/services/contingency.js","server/services/contingency.js:165","Which teammate absorbs a starter's usage when he sits (beneficiary share-gain), and the resulting contingent fantasy value","player_week_usage;players","with/without-starter usage split, shrinkage","contingency.js:availability","heuristic","unknown (not found)","test/migration-027-populated-upgrade.test.js","unmeasured","unknown (not found)","none noted","live","yes - season-level retrospective aggregate, through=season-1 default","no","2026-09-16","cascades); :278 (handcuffValue)","rows-player-news-live.csv"
"nfl_availability_deficit","Team availability deficit (injury weighting)","component","injury","server/services/nfl-availability.js","server/services/nfl-availability.js:146","Team-level weighted lost-snap-share deficit from injuries; feeds nfl-ensemble.js's Roster availability component and a margin-edge feature","nfl_injuries;nfl_snaps;nfl_pfr_adv","position weight,status cost,snap share,PFR defensive production","nfl-player-value.js:normalize,nameSignature","heuristic","unified_margin_audit.py RECIPE_V2 correction-head comparison","test/nfl-availability-weighting.test.js;test/nfl-ensemble-authority.test.js;test/nfl-market-identity.test.js;test/t60-packet-sourced-board.test.js","RECIPE_V1 MAE 9.9132 vs RECIPE_V2 (+availability) MAE 9.9428, +0.030 CI[-0.006,0.071], not significant - LATEST-PLAN.md section ""RESULT - injuries + PFR defense through the correction head, September 15-16, 2026: no improvement, honestly measured""","cutoffAt param exists but every found production caller (nfl-ensemble.js:1253,1313; nfl-replay.js:535 historical walk-forward/calibrate) omits it, reading live/current nfl_injuries state even during historical replay","thread cutoffAt through nfl-ensemble.js and nfl-replay.js's calibrate()/backtest loops","research_only","partial - cutoff param exists, no found caller uses it","no","2026-09-16","availabilityDeficit); :246 (availabilityEdge)","rows-player-news-live.csv"
"nfl_player_value_availability","Roster-wide replacement-value availability","component","injury","server/services/nfl-player-value.js","server/services/nfl-player-value.js:372","Game-margin shadow adjustment = home/away difference in estimated points lost to injury, via starter-to-replacement value","nfl_injuries;nfl_depth;nfl_snaps;nfl_player_week_features;nfl_pfr_adv;nfl_pregame_snapshot_history;game_lines","snap share,depth rank,prior efficiency,QB EPA replacement","football-context.js:quarterbackPicture","heuristic","unknown (not found)","test/model-integrity.test.js;test/nfl-ensemble-authority.test.js;test/nfl-market-identity.test.js;test/spread-family-adapters.test.js","unmeasured","nfl_injuries read (line 302) has no modified_at/captured cutoff filter at all - reads current table state regardless of decision point; risk is labeled via evidence_state, not gated","add a cutoffAt gate on the nfl_injuries read matching nfl-availability.js's pattern","shadow - production_eligible:false, policy states shadow-only until ablation/forward calibration","partial - depth chart gated by captured<=kickoff (safe); current-week nfl_injuries read has no time filter (unsafe)","no","2026-09-16","gamePlayerAvailability); :299 (teamPlayerAvailability)","rows-player-news-live.csv"
"nfl_postgame_injury_carryover","In-game injury carryover","component","injury","server/services/nfl-postgame-truth.js","server/services/nfl-postgame-truth.js:561","Candidate game-margin adjustment from injuries observed exiting or returning in a prior game (carryover into the next game)","nfl_postgame_truth_packets;nfl_injuries;game_lines","prior in-game exit/return state,official report,verified news override","nfl-news-signal.js:playerNewsSignal","heuristic","unknown (not found)","unknown (not found)","unmeasured","target-week nfl_injuries read (carryoverForTeam, line 507) has no modified_at cutoff, unlike the prior-week 'Out' lookback (line 537-538) which is correctly gated","add a modified_at gate to the target-week nfl_injuries read","shadow - production_eligible:false, reaches nfl-expert-council.js/nfl-unified-engine.js display only, not the auto-pick path","partial - news-signal and prior-week reads are cutoff-safe; target-week nfl_injuries read is not","no","2026-09-16","gameInjuryCarryover)","rows-player-news-live.csv"
"news_desk_priority","News Hub display-priority score","component","news","server/routes/news.js","server/routes/news.js:75","News Hub display priority_score per story (weighted sum of roster relevance, materiality, freshness, official-source, importance, reliability)","news_items;nfl_teams","roster players named,materiality,freshness,official source,reliability score","none","heuristic","none found","unknown (not found)","unmeasured","un-tested, un-versioned scoring formula embedded directly in the route rather than a service file","extract into a versioned, tested service module","live","n/a","no","2026-09-16","GET /desk priority_score)","rows-player-news-live.csv"
"news_fantasy_tracker","News-driven fantasy scenario tracker","component","news","server/services/news-fantasy-impact.js","server/services/news-fantasy-impact.js:70","Projected fantasy scenario (points, p10/p90, usage) from a news claim, tracked against next-game outcome for a confirmed/missed verdict","game_lines;player_week_usage;player_week_snaps","role delta,unavailable probability","player-week-engine.js:buildPlayerWeekEngine,playerWeekDistribution;contingency.js:weeklyAvailability","simulation","trackingVerdict confirmed/missed comparison","unknown (not found)","unmeasured","none identified","none noted","shadow - fantasy_model.authority:'shadow_scenario', explicit 'does not mutate the production projection or betting model'","yes - cutoff-safe game selection and shared cutoff-safe player-week engine","no","2026-09-16","newsFantasyTracker); :45 (trackingVerdict)","rows-player-news-live.csv"
"news_player_signal_reader","Cutoff-safe player news-signal reader","component","news","server/services/nfl-news-signal.js","server/services/nfl-news-signal.js:278","Latest verified availability/role claim for a player as-of a cutoff; numeric_authority hardcoded to 0 (shadow-only)","nfl_news_signals","verified claim status,confidence,published_at,created_at","none","rule","none","test/nfl-news-signal.test.js (includes explicit R2 regression tests)","unmeasured","historical: created_at vs ISO cutoff was compared as bare TEXT, so a same-day extraction was wrongly admitted regardless of time of day (reproduced on 642 rows) - docs/betting-model/audits/CLAUDE-WORK-REVIEW-2026-09-15.md. FIXED in current code via datetime() normalization (verified directly at nfl-news-signal.js:313) but LATEST-PLAN.md's 'Current execution order' item 1 still lists it as open - plan/code drift","update LATEST-PLAN.md's execution-order text to reflect the fix","shadow - numeric_authority:0, production_eligible:false","yes - fixed (R2), datetime()-normalized comparison, regression-tested","no","2026-09-16","playerNewsSignal); :344 (teamNewsSignals)","rows-player-news-live.csv"
"nfl_prop_correlation_sgp","Same-game-parlay correlation model","component","props","server/services/nfl-prop-correlation.js","server/services/nfl-prop-correlation.js:70","Joint same-game-parlay probability from a fitted pairwise correlation matrix among tradeable prop stats, vs a book's flat correlation haircut","player-week usage-derived game logs (via correlation fit)","pairwise stat correlations (passing/rushing/receiving yards, receptions, anytime TD)","none","simulation","unknown (not found)","unknown (not found)","unmeasured","unknown (not found)","none noted","research_only","unknown (not found)","partial - sgpAnalysis takes an optional offeredOdds param","2026-09-16","fitPropCorrelations); :269 (sgpAnalysis)","rows-player-news-live.csv"
"nfl_prop_player_heads_challenger","Season-grain player-context TD challenger","component","props","server/services/nfl-prop-player-heads.js","server/services/nfl-prop-player-heads.js:267","Whether season-level player-engine context (career/preseason/offseason features) improves the shipped TD-prop calibration, stacked on the shipped head","none directly (built on propReplayRows + nfl-props-player-features.js)","career_td_per_game,career_td_consistency,pre_ppg,off_vacated_share,off_depth_rank_delta","nfl-props-player-features.js:propPlayerFeatures;nfl-prop-calibration.js","logistic","walkForwardChallengerTd, 3 held-out seasons, paired bootstrap","test/nfl-prop-player-heads.test.js","declined - 0/3 held-out seasons anytime TD, 0/3 on 2+TD, pooled mean_diff -0.0003 CI[-0.0008,+0.0001] - docs/evidence/historical/PROPS_PLAYER_ENGINES.md","season-level constant features cannot separate within-player week-to-week variation","superseded by the weekly-grain attempt (nfl-prop-player-weekly-heads.js), also declined","research_only","yes","no","2026-09-16","walkForwardChallengerTd)","rows-player-news-live.csv"
"nfl_prop_player_weekly_heads_challenger","Weekly-grain player-context TD challenger","component","props","server/services/nfl-prop-player-weekly-heads.js","server/services/nfl-prop-player-weekly-heads.js:267","Whether weekly-grain player-engine context (role trend, churn interaction, opponent red-zone defense) improves the shipped TD-prop calibration","none directly (built on propReplayRows + nfl-props-player-features-weekly.js)","weekly role trend,early-season churn interaction,opponent red-zone defense allowed","nfl-props-player-features-weekly.js:propPlayerWeeklyFeatures","logistic","walkForwardWeeklyChallengerTd","test/nfl-prop-player-weekly-heads.test.js","declined - 0/3 held-out seasons both markets; anytime-TD pooled +0.000136 (wrong direction), 2+TD pooled +0.000184 significant and worse - docs/evidence/historical/PROPS_PLAYER_ENGINES_WEEKLY.md","weekly features do vary within-player (91-93% per weeklyVarianceReport) so the grain fix worked methodologically but still produced no predictive skill","none noted - both season- and weekly-grain player-context attempts declined","research_only","yes - self-verified via assertNoTargetWeekLeak","no","2026-09-16","walkForwardWeeklyChallengerTd)","rows-player-news-live.csv"
"nfl_offseason_change_roster","Team-change and vacated-share signal","component","roster","server/services/nfl-offseason-change.js","server/services/nfl-offseason-change.js:75","Team-change flag and vacated target/carry share for a player entering a new season, as a candidate opportunity adjustment","player_week_usage","prior team,current team,vacated opportunity share","nfl-player-state.js:rosterStateAt","rule","measureTeamChangeEffect / discovery->significance->Holm pipeline per file header","unknown (not found)","unmeasured","none identified beyond the explicit 'nothing here is applied to production' header note","none noted","research_only","yes - offseasonChanges is documented and coded to read only season-1 and earlier, safe to call before Week 1","no","2026-09-16","offseasonChanges); :321 (measureTeamChangeEffect); :179 (measureFirstYearOpportunity)","rows-player-news-live.csv"
"nfl_qb_quality","Starting-QB quality signal","component","roster","server/services/nfl-qb-quality.js","server/services/nfl-qb-quality.js:140","Starting QB's own trailing QBR average for a team-week (never a team or league average)","nfl_depth;nfl_qbr_weekly","starter identity (pos_rank=1),trailing QBR (window=8, min 5 qualifying plays)","nfl-player-value.js:normalize,nameSignature","lookup","market_correction.py / unified_margin_audit.py RECIPE_V3","test/nfl-qb-quality.test.js","V3 (+QB QBR) MAE 9.9583 vs V2 9.9428, +0.016 CI[-0.011,0.043], not significant; V3 vs V1 not significant after Bonferroni correction - LATEST-PLAN.md section ""RESULT - starting-QB-quality through the correction head (RECIPE_V3), September 16, 2026: also no improvement, and the full stack is measurably worse than doing nothing""","none identified - cleanest point-in-time discipline of the injury/player cluster","none noted","research_only - tested as a correction-head challenger, not promoted","yes - starter identity from current-week nfl_depth (ingestion is the boundary), QBR history strictly earlier weeks","no","2026-09-16","teamStartingQbQuality)","rows-player-news-live.csv"
"nfl_rookies_prior","Rookie opportunity prior","component","roster","server/services/nfl-rookies.js","server/services/nfl-rookies.js:128","Preseason opportunity-per-game prior for a rookie by draft band/position (shrunk toward observed usage); evidence-adjusted variant folds in college/combine/role features via a ridge fit when chronologically validated","nfl_rookie_evidence;player_week_usage;nfl_depth","draft round/pick,college production,opponent strength,combine,preseason role,depth rank","nfl-specialists.js:ridgeFit","heuristic","fitRookieEvidenceModel's own chronological holdout (leave-latest-draft-class-out)","unknown (not found)","unmeasured","depends on depthRankFor (see nfl_rookies_depth_rank row) for its depth-chart multiplier, which is not point-in-time safe","none noted","live (prior) / research_only (evidence-adjusted ridge variant, gated on validated=true)","partial - evidence/profile reads use an explicit cutoff param; depthRank input comes from the unsafe depthRankFor","no","2026-09-16","rookieOpportunityPrior); :301 (fitRookieEvidenceModel); :352 (evidenceAdjustedRookiePrior)","rows-player-news-live.csv"
"nfl_roster_strength","Team roster-strength composite","component","roster","server/services/nfl-roster-strength.js","server/services/nfl-roster-strength.js:312","Composite 35-95 roster-quality rating per team-week (starter/depth/fragility, per-unit scores)","nfl_depth;nfl_snaps;nfl_player_week_features;nfl_external_player_grades;nfl_rookie_evidence;player_accolades;roster_players;nfl_player_roster_events;game_lines","depth-chart prior,participation,performance,licensed PFF grade (z-scored),rookie/coach/scheme context","nfl-rookies.js:evidenceAdjustedRookiePrior;nfl-coaches.js:coachChanges;nfl-scheme.js:schemeChange","heuristic","unknown (not found)","test/spread-family-adapters.test.js;test/model-integrity.test.js;test/nfl-roster-strength-pff-normalization.test.js","unmeasured","eight blend constants (0.5/0.23/0.17/0.10, decay/split ratios) chosen by feel, none fit - LATEST-PLAN.md section ""MODEL INVENTORY AND ORGANIZATION"" (September 15, 2026 evening)","fit the blend weights instead of hand-setting them","retired - retired from the live ensemble blend, R-squared=0.994 redundant with the availability component per LATEST-PLAN.md","yes - gameCutoff() used consistently across all sub-reads","no","2026-09-16","teamRosterStrength)","rows-player-news-live.csv"
"nfl_scheme_change","Offensive scheme-change detector","component","roster","server/services/nfl-scheme.js","server/services/nfl-scheme.js:87","Whether/how much a team's offensive play-calling identity changed year over year (z-score magnitude vs league-wide drift), and its effect on returning players' opportunity","nfl_team_week_features;player_week_usage","off_neutral_pass_rate,off_proe,off_early_down_pass_rate,off_shotgun_rate,off_no_huddle_rate,off_plays_per_drive","backtest-significance.js:pairedBootstrapDiff","rule","validateSchemeAdjustment (fit 2022-2024, test 2025, paired bootstrap)","unknown (not found)","unmeasured","none identified beyond file header's own note that nothing here is applied to production automatically","none noted","research_only - consumed only by teamRosterStrength, which is itself retired from the live blend","yes - schemeArchetypes explicitly documented cutoff-safe (prior-season only); schemeChange compares two already-completed seasons","no","2026-09-16","schemeChange); :170 (measureSchemeChangeEffect); :218 (validateSchemeAdjustment)","rows-player-news-live.csv"
