id,name,kind,domain,file,entry_point,predicts,inputs_tables,inputs_features,upstream_models,technique,evaluation_harness,tests,measured_results,known_failures,improvement_options,status,point_in_time_safe,reads_closing_market,last_verified
nfl_scheme_change,Offensive scheme-change detector,component,roster,server/services/nfl-scheme.js,server/services/nfl-scheme.js:87 (schemeChange); :170 (measureSchemeChangeEffect); :218 (validateSchemeAdjustment),"Whether/how much a team's offensive play-calling identity changed year over year (z-score magnitude vs league-wide drift), and its effect on returning players' opportunity",nfl_team_week_features;player_week_usage,"off_neutral_pass_rate,off_proe,off_early_down_pass_rate,off_shotgun_rate,off_no_huddle_rate,off_plays_per_drive",backtest-significance.js:pairedBootstrapDiff,rule,"validateSchemeAdjustment (fit 2022-2024, test 2025, paired bootstrap)",unknown (not found),unmeasured,none identified beyond file header's own note that nothing here is applied to production automatically,none noted,"research_only - consumed only by teamRosterStrength, which is itself retired from the live blend",yes - schemeArchetypes explicitly documented cutoff-safe (prior-season only); schemeChange compares two already-completed seasons,no,2026-09-16
nfl_offseason_change_roster,Team-change and vacated-share signal,component,roster,server/services/nfl-offseason-change.js,server/services/nfl-offseason-change.js:75 (offseasonChanges); :321 (measureTeamChangeEffect); :179 (measureFirstYearOpportunity),"Team-change flag and vacated target/carry share for a player entering a new season, as a candidate opportunity adjustment",player_week_usage,"prior team,current team,vacated opportunity share",nfl-player-state.js:rosterStateAt,rule,measureTeamChangeEffect / discovery->significance->Holm pipeline per file header,unknown (not found),unmeasured,none identified beyond the explicit 'nothing here is applied to production' header note,none noted,research_only,"yes - offseasonChanges is documented and coded to read only season-1 and earlier, safe to call before Week 1",no,2026-09-16
preseason_model,Season-long preseason fantasy projection,forecaster,fantasy,server/services/preseason-model.js,server/services/preseason-model.js:1102 (preseasonProjections); :1143 (preseasonProjection); :710 (SHIPPED_BLEND),"Season-long fantasy point projection (ppg x expected_games) for a player, blended from a market-implied-points curve and (unshipped) learned heads",market board (FantasyPros ECR-derived);nfl_depth;offseason charting block,"market rank curve,ridge/GBM structural features (fitted but not shipped)","offseason-model.js (feature block);preseason-model.js:fitMarketCurve,fitPreseasonModel(ridge, not shipped)",lookup,walk-forward T in 2023/2024/2025 vs the market curve,unknown (not found),unmeasured,"every model-bearing blend variant (ridge, GBM, stacked) is inside the paired-bootstrap noise band against the market curve on all 3 seasons (0/3 significantly better, 0/3 significantly worse per in-file comment); SHIPPED_BLEND hardcodes market weight=1, model weight=0 as a result","none noted - documented decline, not an open gap","live (market-curve component only) / research_only (ridge/GBM/stacked heads, fitted but not shipped)",yes — shippedModel() trains only on seasons s < target (preseason-model.js:1087); features from season-1/2/3 (buildSeasonRows:599-602); verified by full-file read 2026-09-16,yes - the market-implied-points curve (FantasyPros ECR consensus) is the shipped baseline itself,2026-09-16
offseason_model,Season-over-season opportunity-share change model,forecaster,fantasy,server/services/offseason-model.js,server/services/offseason-model.js:1926 (offseasonAdjustment); :1824 (offseasonAdjustments); :865 (SHIPPED_FEATURES),Season-over-season opportunity-share change multiplier for a player (ridge fit on a restricted shipped feature set),player_week_usage;nfl_depth (via buildPanel/rosterAtSeasonStart),"prior_log_share,position dummies,changed_team,vacated_share,changed_x_vacated,depth_demotion_steps,depth_promotion_steps,games_missed",none (self-contained ridge fit),ridge,"walkForward/walkForwardV2 nested ablation, held-out 2023-2025",unknown (not found),unmeasured,"DECLINED_FEATURES (qb1_change, hc_change, implied_delta) did not replicate and are excluded from the shipped feature set per in-file comment",none noted,live,yes — offseasonAdjustments() fits only on s < target (offseason-model.js:1827-1828); buildPanel features are pre-Week-1 by construction; verified by full-file read 2026-09-16,"yes but DECLINED/unpriced — teamOffseasonSummary reads game_lines.implied_points (offseason-model.js:306-313) into implied_delta, which is in DECLINED_FEATURES and never enters the published multiplier",2026-09-16
nfl_props_engine,Player prop projection and market board,forecaster,props,server/services/nfl-props.js,server/services/nfl-props.js:547 (projectWeek); :598 (propBoard),"Per-player prop-stat distributions (pass/rush/rec yards, receptions, anytime-TD probability) and model-vs-market disagreement ranking",nfl_prop_quote_snapshots;game_lines,"simulated volume x efficiency distribution,game script","player-week-engine.js:buildPlayerWeekEngine,sampleTeamWeekEvents;nfl-prop-calibration.js:calibrateAnytimeTd;nfl-devig.js:shinNoVig",simulation,propAccuracy/propReplayRows walk-forward,unknown (not found for propBoard directly),unmeasured,"propAccuracy audits raw uncalibrated probabilities, not what ships (calibrateAnytimeTd is applied downstream in propBoard, not inside the audited function)",a per-season walk-forward calibrator so the shipped path can be graded without leakage (noted in-file),live,yes - buildPlayerWeekEngine is built at throughWeek=week-1,yes - devigs against Odds API player-prop quotes (Shin no-vig),2026-09-16
nfl_prop_td_calibration,Shipped anytime-TD calibration head,calibration,props,server/services/nfl-prop-calibration.js,server/services/nfl-prop-calibration.js:176 (applyTdCalibrator); :374 (activeTdCalibration); :381 (calibrateAnytimeTd),"Calibrated anytime-TD / 2+TD probability from the raw simulated probability (chronologically fit, position-scoped)","prop replay rows (walk-forward output, not raw DB tables directly)","raw simulated probability,position",nfl-props.js:propReplayRows,logistic,auditTdCalibration/walkForwardTdCalibration,unknown (not found directly; exercised indirectly via nfl-prop-player-heads.test.js),"shipped head pooled Brier 0.19333 (anytime TD, n=7871) / 0.06239 (2+TD, n=7871), 2023-2025 - docs/evidence/historical/PROPS_PLAYER_ENGINES.md",none identified in the shipped head itself,none noted,live,yes - chronological fit/discovery/validation split by season,no,2026-09-16
nfl_prop_player_heads_challenger,Season-grain player-context TD challenger,component,props,server/services/nfl-prop-player-heads.js,server/services/nfl-prop-player-heads.js:267 (walkForwardChallengerTd),"Whether season-level player-engine context (career/preseason/offseason features) improves the shipped TD-prop calibration, stacked on the shipped head",none directly (built on propReplayRows + nfl-props-player-features.js),"career_td_per_game,career_td_consistency,pre_ppg,off_vacated_share,off_depth_rank_delta",nfl-props-player-features.js:propPlayerFeatures;nfl-prop-calibration.js,logistic,"walkForwardChallengerTd, 3 held-out seasons, paired bootstrap",test/nfl-prop-player-heads.test.js,"declined - 0/3 held-out seasons anytime TD, 0/3 on 2+TD, pooled mean_diff -0.0003 CI[-0.0008,+0.0001] - docs/evidence/historical/PROPS_PLAYER_ENGINES.md",season-level constant features cannot separate within-player week-to-week variation,"superseded by the weekly-grain attempt (nfl-prop-player-weekly-heads.js), also declined",research_only,yes,no,2026-09-16
nfl_prop_player_weekly_heads_challenger,Weekly-grain player-context TD challenger,component,props,server/services/nfl-prop-player-weekly-heads.js,server/services/nfl-prop-player-weekly-heads.js:267 (walkForwardWeeklyChallengerTd),"Whether weekly-grain player-engine context (role trend, churn interaction, opponent red-zone defense) improves the shipped TD-prop calibration",none directly (built on propReplayRows + nfl-props-player-features-weekly.js),"weekly role trend,early-season churn interaction,opponent red-zone defense allowed",nfl-props-player-features-weekly.js:propPlayerWeeklyFeatures,logistic,walkForwardWeeklyChallengerTd,test/nfl-prop-player-weekly-heads.test.js,"declined - 0/3 held-out seasons both markets; anytime-TD pooled +0.000136 (wrong direction), 2+TD pooled +0.000184 significant and worse - docs/evidence/historical/PROPS_PLAYER_ENGINES_WEEKLY.md",weekly features do vary within-player (91-93% per weeklyVarianceReport) so the grain fix worked methodologically but still produced no predictive skill,none noted - both season- and weekly-grain player-context attempts declined,research_only,yes - self-verified via assertNoTargetWeekLeak,no,2026-09-16
nfl_prop_correlation_sgp,Same-game-parlay correlation model,component,props,server/services/nfl-prop-correlation.js,server/services/nfl-prop-correlation.js:70 (fitPropCorrelations); :269 (sgpAnalysis),"Joint same-game-parlay probability from a fitted pairwise correlation matrix among tradeable prop stats, vs a book's flat correlation haircut",player-week usage-derived game logs (via correlation fit),"pairwise stat correlations (passing/rushing/receiving yards, receptions, anytime TD)",none,simulation,unknown (not found),unknown (not found),unmeasured,unknown (not found),none noted,research_only,unknown (not found),partial - sgpAnalysis takes an optional offeredOdds param,2026-09-16
nfl_prop_clv,Prop closing-line-value evidence,evaluation,props,server/services/nfl-prop-clv.js,server/services/nfl-prop-clv.js:488 (propEdgeEvidence),Not a forecast - measures whether captured prop quotes show a real edge (closing-line value),nfl_prop_quote_snapshots,"no-vig price,settlement",none,rule,propMarketScorecards (self),unknown (not found),"unmeasured - file's own header states nfl_prop_quote_snapshots historically held 0 rows, so this evaluation harness has had nothing to grade",props CLV is explicitly UNMEASURED per the file's own header - no real prop price has ever been compared to the model,none noted,unenforced,unknown (not found),yes,2026-09-16
nfl_props_replay,Player-props synthetic-line backtest,evaluation,props,server/services/nfl-props-replay.js,server/services/nfl-props-replay.js:149 (replayProps); :118 (projectStat),"Backtested prop-betting performance (win_rate/ROI/z-score) vs a self-built synthetic proxy line, not a real historical market price",nfl_player_week_features,"trailing volume (halflife=3),trailing efficiency (halflife=4, shrunk)",none,heuristic,propPermutationTest (shuffled-outcome null check),unknown (not found),unmeasured,"projectStat's halflife constants (3 volume / 4 efficiency) are hardcoded, not routed through the codebase's fitted shrinkage-fit.js - flagged in LATEST-PLAN.md's '6+ hand-rolled shrink-toward-prior formulas' item (nfl-props-replay.js:127, k=4)","route projectStat through shrinkage-fit.js's fitted k, like other production shrinkage","live - diagnostic tool, explicitly distinct from nfl-replay.js",yes,"no - proxy line only, not a real market quote",2026-09-16
draft_gone_by,Draft-pick survival model,forecaster,fantasy,server/services/draft-assist.js,server/services/draft-assist.js:114 (goneBy); :164 (expectedBest),"Probability a fantasy-draft player is gone before a given pick (logistic survival curve), and the expected value of the best player still available",none directly (pure function of market_rank/pick),"market rank (ADP/consensus),pick number",none,logistic,in-file leave-one-draft-out log-loss comparison on 262-280 real draft picks,unknown (not found directly),"refit 2026-09-06, leave-one-draft-out log-loss 0.163 vs 0.167 and 0.149 vs 0.150 vs the prior hand-set curve - docs/evidence/historical/DRAFT_RANKER_THEORY_REVIEW_2026_09_06.md (analyzes this exact function's survival-model math)","none identified in goneBy itself; the downstream replacementLevel baseline-inconsistency flaw recorded in the same doc has since been fixed (expectedBest now scoped in for all but K/DEF, per direct code comparison)",none noted,live,"n/a - pure function of rank/pick, not date-dependent","no - uses fantasy ADP/consensus rank as a market proxy, not betting odds",2026-09-16
draft_rank_targets,Draft-pick recommendation ranker,combiner,fantasy,server/services/draft-assist.js,server/services/draft-assist.js:605 (rankTargets); :324 (boardState); :991 (realizationFor),"Ranked draft-pick recommendation score combining VORP, need, scarcity/tier-cliff, handcuff/rookie bonuses, and a historical realization multiplier",drafts;draft_picks;players;player_accolades,"VORP,roster need,tier cliff,handcuff/rookie bonuses,realization multiplier","draft-assist.js:goneBy,expectedBest,realizationFor;projections.js:buildProjections;nfl-offseason-change.js:offseasonContextFor",heuristic,"none found (a declined alternative signal, boom-bust.js#predictRankGap, is noted in-file as tested and rejected)",test/draft-assist-bestball.test.js,unmeasured,"realizationFor's shrink constant (n/30) is hand-set, not fitted via shrinkage-fit.js - flagged in LATEST-PLAN.md's F15 finding (~lines 1229,1975)",route realizationFor's shrink through shrinkage-fit.js,live,"n/a - live draft-board tool, not a historical replay",no - ESPN's own projected_points used as a comparison proxy,2026-09-16
fantasy_projection_core,Volume x efficiency fantasy projection,forecaster,fantasy,server/services/projections.js,server/services/projections.js:365 (buildProjections),"Season-long fantasy projection per player (volume x efficiency, shrunk to positional priors, + QBR nudge + availability)",player_week_usage;players,"target/carry share,per-opportunity efficiency,trailing QBR,games-played availability",shrinkage-fit.js:activeKVector;nfl-qbr.js:qbrTrailingForPlayer,bayes_eb,scripts/fit-weekly.mjs and scripts/fit-level-uncertainty.mjs walk-forward sweeps (2023-2025),test/qbr-projection-signal.test.js,unmeasured,"weekHalfLife within-season decay was tested and found to make things worse, stays off/null (in-file comment only, no external evidence-path citation found for the exact numbers)",none noted,"live - production core, feeds draft-assist, season-sim, week-postmortem, ceiling-lineup, weekly-backtest",yes - every caller found via grep passes an explicit through/throughWeek,no,2026-09-16
news_signal_extraction,News availability/role signal extractor,ingestion,news,server/services/nfl-news-signal.js,server/services/nfl-news-signal.js:225 (syncStructuredNewsSignals); :61 (STATUS_RULES); :84 (ROLE_RULES),Typed availability/role claim extraction from news text (regex rule classification into unavailable_probability/role delta),news_items,"report-status phrase matching,role-change phrase matching",none,rule,none found,test/nfl-news-signal.test.js,unmeasured,none identified in the extraction rules themselves,none noted,live - called on every /ingest,"n/a - producer, not a cutoff reader",no,2026-09-16
news_player_signal_reader,Cutoff-safe player news-signal reader,component,news,server/services/nfl-news-signal.js,server/services/nfl-news-signal.js:278 (playerNewsSignal); :344 (teamNewsSignals),Latest verified availability/role claim for a player as-of a cutoff; numeric_authority hardcoded to 0 (shadow-only),nfl_news_signals,"verified claim status,confidence,published_at,created_at",none,rule,none,test/nfl-news-signal.test.js (includes explicit R2 regression tests),unmeasured,"historical: created_at vs ISO cutoff was compared as bare TEXT, so a same-day extraction was wrongly admitted regardless of time of day (reproduced on 642 rows) - docs/betting-model/audits/CLAUDE-WORK-REVIEW-2026-09-15.md. FIXED in current code via datetime() normalization (verified directly at nfl-news-signal.js:313) but LATEST-PLAN.md's 'Current execution order' item 1 still lists it as open - plan/code drift",update LATEST-PLAN.md's execution-order text to reflect the fix,"shadow - numeric_authority:0, production_eligible:false","yes - fixed (R2), datetime()-normalized comparison, regression-tested",no,2026-09-16
news_event_impact_model,News-claim market-impact model,evaluation,news,server/services/nfl-news-event-impact.js,server/services/nfl-news-event-impact.js:212 (evaluateModels); :187 (fitOLS),"Whether a verified news claim's content improves prediction of the resulting market-price move, vs a price-only baseline (chronological OLS comparison)",nfl_news_events;nfl_quote_tape,"reaction-pair price move,pre-claim volatility,claim content features","nfl-news-event-impact.js:reactionPairs,preClaimVolatility",ridge,chronological train/test split within evaluateModels,test/nfl-news-event-impact.test.js,unmeasured - docs/evidence/2026-09-09/AUDIT-EVIDENCE.md recorded 0 usable event/quote pairs at that audit's time,"retain as a limited historical diagnostic, not a directional game predictor - LATEST-PLAN.md (~line 3745)","predeclared horizons, matched-handicap prices, receipt-clock-only latency - LATEST-PLAN.md Step 9",research_only,"yes - pivots strictly on first_seen_time, chronological split",yes - reads nfl_quote_tape directly,2026-09-16
news_market_latency,News-to-market reaction latency,evaluation,news,server/services/nfl-news-market-latency.js,server/services/nfl-news-market-latency.js:203 (nflNewsMarketLatency); :246 (verifiedEventMarketLatency); :142 (quoteReaction),News-to-market reaction latency and abnormal-move z-score for verified claims (event-study design vs cross-sectional peer moves),nfl_news_signals_current;nfl_line_snapshots;nfl_verified_events,"peer-adjusted price move,pre-claim noise z-score",nfl-news-market-latency.js:buildMarketMoveIndex,rule,"self-gated research_eligible flag (n>=100, books>=3)",test/model-integrity.test.js;test/empty-state.test.js,unmeasured,"pivot is claim.published_at, not a first-seen/extraction-receipt clock - methodologically distinct from the cutoff-safe first_seen_time discipline used elsewhere - LATEST-PLAN.md (~line 3882)",require actual local receipt/extraction clocks for latency claims per LATEST-PLAN.md Step 9,unenforced - self-declared 'latency measurement only; a reaction is not proof the claim caused the move',partial,yes,2026-09-16
news_fantasy_tracker,News-driven fantasy scenario tracker,component,news,server/services/news-fantasy-impact.js,server/services/news-fantasy-impact.js:70 (newsFantasyTracker); :45 (trackingVerdict),"Projected fantasy scenario (points, p10/p90, usage) from a news claim, tracked against next-game outcome for a confirmed/missed verdict",game_lines;player_week_usage;player_week_snaps,"role delta,unavailable probability","player-week-engine.js:buildPlayerWeekEngine,playerWeekDistribution;contingency.js:weeklyAvailability",simulation,trackingVerdict confirmed/missed comparison,unknown (not found),unmeasured,none identified,none noted,"shadow - fantasy_model.authority:'shadow_scenario', explicit 'does not mutate the production projection or betting model'",yes - cutoff-safe game selection and shared cutoff-safe player-week engine,no,2026-09-16
news_lag_trader,Fantasy news-lag trade advisor,policy_module,news,server/services/news-lag-trader.js,server/services/news-lag-trader.js:113 (newsOpportunities),Actionable fantasy-league waiver/trade recommendations from recent verified news signals (not a betting-market model),leagues;nfl_news_signals_current;nfl_teams;roster_players,"status category,45-day/72-hour recency windows","nfl-news-signal.js (via nfl_news_signals_current);trade-engine.js:assetUniverse,loadRosters",heuristic,none found,unknown (not found),unmeasured,"none identified - file explicitly does not model when leaguemates will see the news (by design, not a gap)",none noted,"live - user-facing fantasy tool, not part of the betting-model pick path","n/a - live 'what should I do right now' tool, not a historical replay","no - uses fantasy trade value, not sportsbook odds",2026-09-16
news_desk_priority,News Hub display-priority score,component,news,server/routes/news.js,server/routes/news.js:75 (GET /desk priority_score),"News Hub display priority_score per story (weighted sum of roster relevance, materiality, freshness, official-source, importance, reliability)",news_items;nfl_teams,"roster players named,materiality,freshness,official source,reliability score",none,heuristic,none found,unknown (not found),unmeasured,"un-tested, un-versioned scoring formula embedded directly in the route rather than a service file","extract into a versioned, tested service module",live,n/a,no,2026-09-16
nfl_live_win_probability,In-game win probability,forecaster,live,server/services/nfl-live.js,server/services/nfl-live.js:66 (liveWinProbability); :49 (marginSigma),"In-game home win probability from a Gaussian random-walk over current lead, time remaining, and pregame spread",game_lines (marginSigma only; liveWinProbability itself takes scalars),"lead,seconds remaining,pregame spread",none,simulation,nfl-espn-pbp.js:liveModelValidation,unknown (not found),"unmeasured - live-edge.js hardcodes Brier 0.1708 / skill score 0.3167 / calibration error 0.0471 over 2,196 graded states, but this exact figure could not be corroborated in docs/evidence or experiment-results by direct grep","marginSigma has no cutoff clock on game_lines (low-risk since it only reads completed games, but structurally unguarded)",persist a dated liveModelValidation run to docs/evidence so live-edge.js's hardcoded validation constant can be checked,live,yes - inputs are as-of-the-moment scalars from the live ESPN poll; liveModelValidation deliberately reuses historical states only for backtesting,yes - pregameSpread is sourced from ESPN's own live odds field,2026-09-16
